The weight of the minimum edge-cut is 100.
The vertices on one side of the cut are:
{1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 43, 45, 47, 49}
The vertices on the other side of the cut are:
{2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50}
The edges of the cut with their weights are:
Edge (16, 33) with weight 1
Edge (13, 26) with weight 1
Edge (1, 14) with weight 10
Edge (8, 29) with weight 1
Edge (17, 34) with weight 1
Edge (18, 33) with weight 1
Edge (12, 31) with weight 1
Edge (48, 49) with weight 1
Edge (13, 28) with weight 1
Edge (3, 6) with weight 1
Edge (3, 8) with weight 1
Edge (9, 20) with weight 1
Edge (9, 18) with weight 1
Edge (28, 39) with weight 1
Edge (10, 29) with weight 1
Edge (14, 31) with weight 1
Edge (17, 36) with weight 1
Edge (42, 45) with weight 1
Edge (5, 26) with weight 10
Edge (15, 30) with weight 1
Edge (21, 42) with weight 1
Edge (6, 27) with weight 1
Edge (21, 44) with weight 1
Edge (30, 39) with weight 1
Edge (1, 4) with weight 1
Edge (19, 38) with weight 1
Edge (1, 2) with weight 1
Edge (7, 14) with weight 1
Edge (34, 41) with weight 1
Edge (38, 43) with weight 1
Edge (7, 16) with weight 1
Edge (25, 50) with weight 1
Edge (20, 35) with weight 1
Edge (15, 32) with weight 1
Edge (24, 37) with weight 1
Edge (5, 10) with weight 1
Edge (11, 22) with weight 1
Edge (4, 27) with weight 1
Edge (5, 12) with weight 1
Edge (11, 24) with weight 1
Edge (23, 46) with weight 1
Edge (49, 50) with weight 1
Edge (40, 45) with weight 1
Edge (26, 37) with weight 1
Edge (17, 44) with weight 10
Edge (44, 47) with weight 1
Edge (22, 35) with weight 1
Edge (19, 40) with weight 1
Edge (37, 50) with weight 10
Edge (36, 43) with weight 1
Edge (23, 48) with weight 1
Edge (32, 41) with weight 1
Edge (46, 47) with weight 1
Edge (12, 23) with weight 10
Edge (2, 25) with weight 1
