100
1 100
1 6 27
1 12 39
1 15 38
1 16 20
1 24 19
1 30 15
1 37 14
1 46 20
1 49 33
2 10 34
2 14 29
2 27 16
2 30 16
2 45 36
2 50 10
3 4 29
3 6 17
3 7 40
3 9 11
3 10 12
3 14 31
3 17 17
3 29 29
3 35 40
3 43 10
3 47 10
3 48 20
3 50 37
4 8 23
4 9 10
4 10 19
4 14 20
4 18 34
4 23 22
4 24 27
4 26 33
4 27 40
4 30 23
4 34 35
4 39 28
4 42 40
4 43 39
5 7 20
5 8 33
5 9 12
5 26 28
5 45 24
5 49 17
5 50 38
6 10 33
6 19 14
6 23 16
6 26 26
6 31 38
6 34 32
6 36 36
7 9 30
7 12 15
7 17 11
7 33 17
7 37 27
7 39 39
7 43 20
7 46 28
7 47 28
7 50 34
8 10 11
8 13 23
8 15 27
8 17 25
8 19 12
8 23 13
8 36 36
8 37 18
8 38 32
8 41 28
8 42 28
8 48 15
9 11 27
9 14 34
9 19 16
9 26 37
9 28 39
9 29 31
9 33 20
9 34 17
9 39 23
9 45 40
9 46 20
9 48 11
10 13 18
10 23 30
10 28 35
10 43 39
10 46 35
10 48 17
10 49 19
10 50 13
11 12 28
11 29 28
11 32 34
11 35 30
11 40 11
12 16 12
12 19 29
12 30 16
12 46 20
12 48 20
13 15 24
13 35 10
13 36 22
13 37 15
13 43 27
13 45 11
13 46 17
13 50 30
14 17 32
14 18 36
14 23 17
14 35 10
14 38 40
14 40 37
14 47 36
14 50 16
15 26 36
15 31 33
15 36 33
15 45 24
15 47 40
15 48 40
16 28 16
16 29 26
16 33 40
16 37 30
16 38 12
16 39 20
16 48 29
17 19 20
17 21 36
17 32 26
17 45 33
17 48 20
18 36 25
18 45 28
18 46 28
19 20 20
19 27 26
19 28 18
19 32 37
19 33 38
19 43 16
19 47 24
19 48 30
20 23 22
20 30 37
20 31 35
20 33 15
20 37 19
20 38 22
20 39 24
20 42 21
20 43 32
20 45 17
20 49 26
21 22 26
21 24 23
21 41 36
21 44 34
21 46 13
21 48 29
21 50 34
22 24 18
22 47 38
23 27 30
23 33 36
23 35 37
23 41 11
23 49 30
24 26 30
24 32 33
24 39 31
24 40 30
24 41 26
24 43 27
24 46 17
24 50 30
25 30 21
25 32 27
25 33 30
25 35 37
25 37 14
25 38 27
25 41 31
25 42 36
25 47 35
25 49 12
25 55 34
25 59 25
25 60 14
25 61 33
25 62 15
25 64 19
25 65 31
25 70 33
25 75 39
26 27 29
26 28 13
26 29 23
26 36 31
26 40 19
26 43 11
26 45 29
26 47 29
26 48 16
26 59 36
26 62 19
26 64 26
26 67 32
26 71 21
27 31 40
27 32 38
27 33 38
27 34 11
27 35 40
27 38 18
27 42 17
27 47 18
27 56 23
27 64 32
27 65 34
27 67 14
27 75 26
28 29 14
28 33 27
28 35 22
28 36 33
28 37 38
28 38 30
28 39 33
28 41 17
28 43 22
28 45 32
28 46 19
28 48 25
28 53 32
28 58 27
28 60 17
28 63 19
28 65 33
29 35 16
29 37 14
29 43 14
29 44 17
29 45 23
29 50 15
29 52 30
29 56 10
29 63 32
29 66 11
29 67 18
30 33 28
30 34 35
30 36 17
30 38 21
30 39 37
30 43 35
30 45 29
30 49 40
30 50 17
30 52 35
30 57 14
30 60 40
30 63 36
30 66 13
31 32 21
31 35 17
31 40 20
31 42 25
31 44 39
31 45 39
31 46 11
31 48 23
31 56 29
31 57 38
31 60 24
32 36 30
32 37 10
32 39 16
32 44 25
32 46 11
32 47 40
32 49 39
32 51 29
32 52 32
32 59 18
32 60 22
32 64 23
33 36 13
33 37 16
33 43 17
33 47 21
33 49 15
33 50 35
33 53 18
33 58 16
33 59 33
33 60 30
33 63 26
33 64 25
33 73 20
34 35 31
34 36 23
34 41 26
34 42 35
34 43 21
34 44 11
34 45 11
34 61 25
34 70 31
34 75 20
35 38 16
35 39 15
35 41 12
35 42 30
35 43 30
35 44 31
35 48 32
35 49 28
35 52 33
35 67 25
35 71 34
36 41 23
36 43 13
36 45 29
36 47 20
36 50 37
36 64 13
36 69 31
36 73 12
36 74 16
37 39 16
37 42 14
37 44 33
37 49 30
37 55 21
37 56 24
37 62 20
37 66 31
37 71 19
38 45 33
38 51 10
38 60 30
38 66 20
38 67 13
38 68 38
39 40 36
39 42 31
39 45 30
39 47 30
39 51 21
39 53 30
39 55 33
39 61 27
39 65 28
39 66 36
39 69 11
39 71 26
40 41 12
40 43 40
40 45 24
40 52 34
40 61 19
40 65 19
40 67 37
41 42 28
41 43 12
41 46 39
41 47 31
41 49 33
41 50 35
41 62 21
41 68 30
41 69 36
41 71 23
41 75 32
42 44 30
42 49 30
42 51 20
42 54 34
42 58 11
42 71 14
43 46 29
43 48 36
43 50 25
43 53 24
44 45 19
44 46 30
44 49 11
44 54 19
44 57 11
44 59 28
44 65 16
45 50 27
45 59 26
45 68 21
45 72 36
45 75 23
46 47 17
46 48 12
46 49 30
46 51 37
46 58 36
46 59 10
46 68 16
46 71 18
46 73 22
47 48 29
47 50 31
47 51 25
47 54 11
47 65 19
47 74 37
48 64 39
48 69 30
48 70 13
49 50 13
49 57 37
49 59 29
49 63 30
49 72 13
50 51 24
50 52 20
50 55 27
50 59 12
50 63 16
50 64 14
50 65 37
50 66 30
50 77 12
50 79 38
50 87 38
50 91 12
51 54 38
51 58 31
51 59 18
51 60 13
51 61 23
51 65 16
51 68 15
51 72 20
51 75 14
51 79 30
51 85 22
51 91 35
51 100 29
52 53 14
52 55 39
52 59 12
52 64 38
52 65 21
52 69 20
52 70 27
52 72 16
52 86 25
53 55 30
53 56 32
53 57 14
53 59 30
53 66 34
53 68 13
53 69 37
53 71 24
53 74 15
53 75 33
53 78 21
53 81 19
53 85 30
53 88 27
54 55 30
54 57 39
54 59 20
54 60 29
54 63 25
54 68 34
54 71 23
54 75 25
54 77 34
54 79 36
54 81 30
54 85 33
54 86 19
54 91 19
54 93 20
54 94 24
54 100 26
55 57 26
55 59 14
55 62 33
55 64 22
55 67 24
55 72 26
55 77 20
55 78 19
55 79 18
55 94 26
55 97 10
55 99 30
56 59 20
56 67 11
56 68 36
56 69 31
56 70 28
56 78 35
56 82 16
57 60 13
57 61 19
57 62 37
57 63 16
57 69 28
57 70 13
57 71 10
57 75 30
57 80 38
57 83 25
57 95 23
57 99 40
58 60 18
58 61 22
58 62 13
58 69 35
58 70 19
58 74 17
58 76 20
58 77 30
58 78 37
58 82 30
58 83 36
58 84 31
58 87 30
58 88 14
58 97 18
58 99 31
59 60 31
59 61 21
59 62 12
59 63 28
59 64 35
59 66 18
59 68 30
59 70 23
59 71 26
59 73 14
59 74 26
59 81 34
59 86 21
59 87 25
59 89 34
59 93 24
59 100 19
60 62 10
60 64 30
60 66 14
60 68 26
60 70 27
60 78 15
60 80 26
60 82 35
60 84 31
60 86 21
60 88 15
60 93 17
60 96 37
60 97 30
61 63 12
61 73 34
61 74 36
